title,content,date,category,url
"Tiket Kereta Jakarta Yogyakarta Jelang Waisak 2025, Mulai dari Rp 380.000","KOMPAS.com - Jelang perayaan Hari Raya Waisak 2025 di Candi Borobudur, Magelang, Jawa Tengah, harga tiket kereta Jakarta Yogyakarta akhir pekan ini terpantau mulai dari Rp 380.000.
Puncak perayaan Waisak 2025 dijadwalkan akan digelar pada 12 Mei 2025. Wisatawan yang hendak ikut melihat kemeriahan perayaan Waisak 2025 di Candi Borobudur dapat membeli tiket untuk keberangkatan akhir pekan ini.
Kompas.com memantau harga tiket kereta dari Jakarta menuju Yogyakarta jelang Waisak 2025 melalui aplikasi Access by KAI pada Rabu (7/5/2025) untuk keberangkatan akhir pekan ini.
Baca juga:
Harga tiket kereta paling murah dari Jakarta menuju Yogyakarta untuk akhir pekan ini terpantau mulai Rp 380.000.
Tersedia untuk KA Tambahan PSE LPN relasi Pasarsenen-Yogyakarta, KA Tambahan PSE LPN relasi Pasarsenen-Lempuyangan, KA Tambahan PSE LPN relasi Jatinegara-Yogyakarta, dan KA Tambahan PSE LPN relasi Jatinegara-Lempuyangan.
Harga ini tersedia untuk keberangkatan pada sore hari, tepatnya berangkat pukul 15.37 WIB.
Baca juga:
Kemudian, tersedia tiket kereta mulai dari Rp 400.000, untuk KA Bogowanto relasi Jatinegara-Lempuyangan, KA Tambahan PSE SLO relasi Pasarsenen-Yogyakarta, KA Bogowanto relasi Pasarsenen-Lempuyangan, KA Bogowanto relasi Jatinegara-Yogyakarta, dan KA Bogowanto relasi Pasarsenen-Yogyakarta.
Kereta untuk relasi dan harga tersebut tersedia pada keberangkatan sore dan malam hari. Sementara itu, keberangkatan pagi hari rata-rata tiketnya sudah habis terjual.
Maka dari itu, apabila sudah menetapkan tanggal cuti dan mendapatkan harga tiket yang cocok, sebaiknya pesan tiket kereta segera sebelum tiket habis.",07/05/2025,Travel News,https://travel.kompas.com/read/2025/05/07/200000327/tiket-kereta-jakarta-yogyakarta-jelang-waisak-2025-mulai-dari-rp-380.000
"Enggak Perlu Antre, Bagaimana Pemeriksaan Imigrasi di Kapal Pesiar?","JAKARTA, KOMPAS.com - Melancong ke luar negeri tidak hanya dilakukan melalui pesawat, tetapi juga menggunakan kapal pesiar. Namun, perjalanan dengan kapal pesiar juga memerlukan paspor dan visa.
Berbeda dengan pemeriksaan imigrasi di bandara atau pelabuhan yang dilakukan di tempat keberangkatan, pemeriksaan untuk penumpang kapal pesiar mewah dilakukan di dalam kapal itu sendiri.
Sistem ini dikenal dengan nama Immigration on Shipping (IoS).
Baca juga: 3 Syarat Naik Kapal Pesiar yang Bakal Berlabuh di Jakarta, Bawa Paspor
Immigration on Shipping (IoS) merupakan sistem pemeriksaan imigrasi yang berlangsung di dalam kapal pesiar selama perjalanan, baik saat menuju maupun meninggalkan Indonesia.
Proses pemeriksaan ini mirip dengan sistem di bandara atau pelabuhan internasional.
Dokumen perjalanan, seperti paspor dan visa, akan diperiksa oleh petugas imigrasi sebelum kapal bersandar di pelabuhan tujuan pertamanya di Indonesia.
Dengan cara ini, penumpang dan awak kapal tidak perlu mengantre di konter pemeriksaan imigrasi di pelabuhan, sehingga mengurangi kemungkinan penumpukan penumpang.
Pemeriksaan juga mencakup verifikasi pelaporan (general declaration), crew list, dan manifest penumpang, yang dilakukan sebelum kapal pesiar lepas sandar dari pelabuhan luar negeri.
Baca juga: Cara Beli Tiket Kapal Pelni Online, Gampang Bisa dari HP
Shutterstock/scorpeow Ilustrasi paspor. Paspor Terkuat di ASEAN 2025, Indonesia Nomor Berapa?",07/05/2025,Travelpedia,https://travel.kompas.com/read/2025/05/07/185025927/enggak-perlu-antre-bagaimana-pemeriksaan-imigrasi-di-kapal-pesiar
"Tolak GRIB Jaya, Ini Cara Warga Bali Memilih Pecalang untuk Jaga Keamanan","KOMPAS.com - Keberadaan pecalang atau polisi adat di Bali menjadi alasan kuat penolakan terhadap organisasi masyarakat (ormas) Gerakan Rakyat Indonesia Bersatu (GRIB) Jaya.
Wakil Gubernur Bali I Nyoman Giri Prasta menilai, tanpa kehadiran ormas GRIB Jaya, keamanan dan kedamaian masyarakat Bali sudah terjamin melalui petugas setempat, termasuk pecalang.
""Jadi prinsipnya kami melihat bahwa di Bali ini kita sudah memiliki aparatur negara, baik itu TNI maupun Polri, yang bertalian dengan keamanan dan ketertiban masyarakat itu satu,"" kata Giri Prasta, dikutip dari Kompas.com.
Pihak warga juga menyuarakan penolakannya melalui pemimpin adat Kelihan Adat Tainsiat Pande Nyoman Artawibawa.
""Terkait itu, saya kira serupa pendapatnya dengan Bendesa Kesiman yang sudah lebih dulu bersuara, bahwa Desa Adat di Bali sebetulnya sudah memiliki lembaga yang ditugasi untuk menjaga keamanan di wilayah setempat, bernama Pecalang,"" ujar Pande, pada Senin (5/5/2025).
Ia berpendapat bahwa peran pecalang sudah mampu bersinergi dengan lembaga keamanan tingkat nasional, seperti polisi.
Pecalang merupakan petugas keamanan adat di Bali yang dipilih melalui musyawarah masyarakat desa adat.
Sedikitnya, ada empat syarat menjadi pecalang, yakni beragama hindu, berstatus sebagai warga asli desa adat, sehat fisik dan mental, dan berperilaku baik.
Pengamat pariwisata I Gede Pitana menuturkan, pemilihan pecalang didasarkan pada hasil rapat atau musyawarah di balai banjar (balai desa).
Baca juga: Ketentuan Ikut Festival Lampion Waisak 2025 di Borobudur
""Katakanlah satu desa adat yang penduduknya 200 kepala keluarga (KK), maka perlu berapa banyak pecalang? Misalnya, desa adat memutuskan membutuhkan 15 orang pecalang,"" kata Pitana ketika dihubungi Kompas.com, Selasa (6/5/2025).
Jumlah pecalang tidak selalu sama di semua desa adat Bali. Saat ini, diketahui terdapat 1.428 desa adat di Bali.
Semakin besar jumlah masyarakat di sebuah desa adat, semakin banyak pecalang yang dibutuhkan.
Baca juga: Seputar Festival Lampion di Candi Borobudur 2025
Antara Foto/Nyoman Hendra Wibowo Pecalang atau petugas pengamanan desa adat di Bali memantau situasi di area Monumen Kapten Anumerta Ida Bagus Putu Japa saat Hari Raya Nyepi Tahun Baru Saka 1944 di wilayah Desa Sumerta Kelod, Denpasar, Bali, Kamis (3/3/2022). Pengamanan Hari Raya Nyepi Tahun Baru Saka 1944 di desa tersebut untuk menjamin keamanan dan kelancaran umat Hindu dalam menjalani catur brata penyepian dengan tidak bekerja (amati karya), tidak bepergian (amati lelungan), tidak menyalakan api (amati geni) dan tidak bersenang-senang (amati lelanguan) selama 24 jam yakni mulai Kamis (3/3/2022) pukul 06.00 WITA hingga Jumat (4/3/2022) pukul 06.00 WITA.
Berdasarkan struktur desa adat, pecalang termasuk bagian integral dalam, seperti halnya ketua desa dan sekretaris desa.
Para warga, termasuk pengurus desa, akan berkumpul di balai banjar untuk merapatkan pemilihan pecalang.
""Jadi, dilihat di antara pemuda atau generasi muda termasuk yang sudah menikah, siapa yang cocok dijadikan pecalang,"" ujar Pitana.
Setelah dipilih, pecalang akan diberi bekal pelatihan dan ditugaskan menjaga keamanan adat di Bali.
Baca juga: 13 Mei 2025 Libur Apa? Cek Jadwal Cuti dan Long Weekend",07/05/2025,Travel News,https://travel.kompas.com/read/2025/05/07/181408027/tolak-grib-jaya-ini-cara-warga-bali-memilih-pecalang-untuk-jaga-keamanan
"Tugas Pecalang di Bali, Lebih dari Sekadar Menjaga Keamanan","KOMPAS.com - Kehadiran organisasai masyarakat (ormas) Gerakan Rakyat Indonesia Bersatu (GRIB) Jaya di Bali menuai berbagai penolakan di tengah masyarakat.
Sejumlah pihak menilai tak ada urgensi GRIB Jaya beroperasi di Bali lantaran Pulau Dewata sudah memiliki Pecalang yang merupakan petugas keamanan desa adat di Bali.
Oleh karena itu, kehadiran GRIB Jaya atau ormas lain dari luar di Bali justru dikhawatirkan menimbulkan gesekan di masyarakat.
""Jadi ini harus kita pertahankan agar tidak terjadi benturan atau gesekan-gesekan terhadap ormas-ormas yang mengaku menjaga keamanan,"" kata Ketua Pecalang Bali, Made Mudra, saat ditemui di Kantor Majelis Desa Adat (MDA) Bali, pada Senin (5/5/2025).
Baca juga: Kekhawatiran Pecalang jika GRIB Jaya Beroperasi di Bali
ANTARA FOTO/NYOMAN HENDRA WIBOWO Pecalang atau petugas pengamanan adat Bali memantau situasi saat Hari Raya Nyepi Tahun Saka 1943 di wilayah Desa Sumerta Kelod, Denpasar, Bali, Minggu (14/3/2021). Pengamanan tersebut untuk menjamin keamanan dan kelancaran umat Hindu dalam menjalani 'catur brata penyepian' dengan tidak bekerja (amati karya), tidak bepergian (amati lelungan), tidak menyalakan api (amati geni) dan tidak bersenang-senang (amati lelanguan) selama 24 jam.
Pecalang merupakan sebutan untuk petugas keamanan desa adat di Bali. Setiap desa adat Bali memiliki pecalang, tetapi jumlahnya tidak menentu.
Sedikitnya, setiap desa adat Bali memiliki 10 orang pecalang. Jumlahnya bisa bertambah hingga 100 orang pecalang, tergantung jumlah masyarakat di desa adat tersebut.
Tugas utama pecalang adalah menjaga keamanan dan ketertiban wilayah di desa adat masing-masing.
Namun, bukan berarti pecalang hanya bertugas di desa adat yang dihuni. Pecalang juga bisa bertugas antardesa, tergantung pada permintaan atau kebutuhan wilayah lain.
Baca juga: Apa Itu Pecalang? Mengenal Penjaga Keamanan Adat Bali dan Tugasnya",07/05/2025,Travelpedia,https://travel.kompas.com/read/2025/05/07/173808727/tugas-pecalang-di-bali-lebih-dari-sekadar-menjaga-keamanan
"Perhutani Larang Pendakian Tiga Gunung di Gugusan Pegunungan Argopuro, Apa Alasannya?","KOMPAS.com – Pendakian ke Gunung Saeng, Gunung Piramid dan Gunung Gulgulan resmi ditutup.
Larangan tersebut dikeluarkan Perhutani KPH Bondowoso buntut adanya pendaki asal Jember, Fahrul Hidayatullah alias Baim (18) yang meninggal usai terjatuh saat mendaki di Gunung Saeng pada 1 Mei 2025 lalu.
Gunung Saeng, Gunung Piramid, dan Gunung Gulgulan merupakan gunung-gunung yang berada pada gugusan pegunungan Argopuro.
Ketiga gunung ini berada pada kawasan hutan lindung, petak 23-1 RPH Curahdami dan RPH Wringin Tapung.
Dikutip dari Kompas.com, Rabu (7/5/2025) Administratur Perhutani KPH Bondowoso, Misbahul Munir mengatakan, pelarangan tersebut diterapkan sejak Senin (5/5/2025).
""Itu (ketiga gunung) merupakan satu kesatuan Lereng Yang Timur Laut yang ada di wilayah kawasan hutan petak 23-1 klas hutan lindung,"" kata Misbahul.
Baca juga: Mengenal Gunung Saeng yang Mirip Gunung Piramid, Lokasi Jatuhnya Remaja Asal Jember
Lebih lanjut Munir menegaskan, Perum Perhutani melarang dan selama ini tidak pernah memberi izin kepada siapapun baik perorangan untuk ke lokasi ketiga gunung itu.
""Baik untuk mendatangi, menyusuri, dan melakukan pendakian,"" ujar dia.
Ia menyebut, akses ke lokasi tiga gunung tersebut sangat sulit karena memiliki tebing curam di sebelah kanan dan kiri.
Baca juga: Berkaca dari Kasus Thoriq di Gunung Piramid, Ini Pesan untuk Para Pendaki
Perhutani juga melarang kegiatan camping di sekitar hutan karena wilayah tersebut rawan bencana longsor, pohon roboh, dan kebakaran hutan.
""Kami juga akan pasang papan larangan pendakian ke gunung itu,"" ucap dia.
Dikutip dari TribunNews, pihak perhutani juga akan melakukan patroli secara berkala di kawasan-kawasan pendakian.
Pihaknya menyebut tak akan segan menindak pendaki nekat, dengan membawa mereka ke aparat penegak hukum.
""Ada upaya-upaya hukumlah. Namun kita mengawali ada himbaun, melakukan patroli bareng,"" ujarnya.
Baca juga: Ada Pendaki Jatuh hingga Tewas, Perhutani Larang Naik Gunung Saeng Bondowoso",07/05/2025,Travel News,https://travel.kompas.com/read/2025/05/07/153000827/perhutani-larang-pendakian-tiga-gunung-di-gugusan-pegunungan-argopuro-apa
"Jadwal KRL Manggarai-Bogor Hari Ini, Terakhir 23.58 WIB","KOMPAS.com - Jadwal KRL Manggarai-Bogor hari ini, Rabu (7/5/2025), bisa disimak oleh pelaku perjalanan yang hendak pulang ke arah Jawa Barat.
Berikut rincian jadwalnya mulai pukul 15.00 WIB menurut aplikasi Access by KAI. Harap diingat bahwa jadwal bisa berubah sewaktu-waktu.
Baca juga:
KOMPAS.com/Ni Nyoman Wira Suasana Stasiun Bogor, Jawa Barat, pada Rabu (19/2/2025).
Baca juga: Rute Menuju Bogor Aquagame
A post shared by Kompas Travel (@kompas.travel)",07/05/2025,Travel News,https://travel.kompas.com/read/2025/05/07/150500827/jadwal-krl-manggarai-bogor-hari-ini-terakhir-23.58-wib
"Jadwal KRL Tanah Abang-Cikarang Hari Ini, Terakhir 23.47 WIB","KOMPAS.com - Bila hendak pulang naik kereta ke arah Jawa Barat, simak jadwal KRL Tanah Abang-Cikarang hari ini, Rabu (7/5/2025).
Berikut rincian jadwalnya dari pukul 15.00 WIB, menurut aplikasi Access by KAI. Harap diingat bahwa jadwal bisa berubah sewaktu-waktu.
Baca juga:
KOMPAS.com/NABILLA TASHANDRA Sejumlah warga hendak pergi mudik dari Stasiun Cikarang jelang Hari Raya Idul Fitri, Kamis (20/4/2023).
Baca juga: Pengalaman Cari Oleh-oleh Haji di Pasar Tanah Abang, Banyak Pilihan
Stasiun Tanah Abang, Jakarta Pusat, dan Stasiun Cikarang, Jawa Barat, berada di jalur biru (Commuter Line Cikarang).
Kereta dari Tanah Abang akan melewati beberapa stasiun yaitu Stasiun Tanah Abang, Stasiun Karet, Stasiun Sudirman Baru, Stasiun Sudirman, Stasiun Manggarai, Stasiun Matraman, Stasiun Jatinegara, Stasiun Klender, dan Stasiun Buaran.
Baca juga:
Selanjutnya Stasiun Klender Baru, Stasiun Cakung, Stasiun Kranji, Stasiun Bekasi, Stasiun Bekasi Timur, Stasiun Tambun, Stasiun Cibitung, Stasiun Meatland Telaga Murni, dan Stasiun Cikarang.
Tarif KRL dari Stasiun Tanah Abang ke Stasiun Cikarang mulai Rp 5.000.
Baca juga: Panduan Jalan Kaki Menuju Vihara Hok Tek Tjeng Sin Tanah Abang
A post shared by Kompas Travel (@kompas.travel)",07/05/2025,Travel News,https://travel.kompas.com/read/2025/05/07/145411127/jadwal-krl-tanah-abang-cikarang-hari-ini-terakhir-2347-wib
"Jadwal Kereta Bandara Soekarno-Hatta dari Rawa Buaya, Paling Malam 22.05 WIB","KOMPAS.com - Bagi Anda yang hendak bepergian ke Bandara Soekarno-Hatta dari kawasan Jakarta Barat, kini semakin mudah dan nyaman berkat layanan Kereta Bandara Rawa Buaya–Basoetta.
Pada Mei 2025, perjalanan kereta dari Stasiun Rawa Buaya ke Bandara Soekarno-Hatta (Basoetta) dijadwalkan berjalan rutin setiap setengah jam hingga malam hari.
Kereta pertama dari Stasiun Rawa Buaya berangkat pukul 05.35 WIB, memberikan opsi ideal bagi para penumpang yang memiliki jadwal penerbangan pagi.
Baca juga: Jadwal Kereta Bandara Soekarno-Hatta-Manggarai Mei 2025

Sementara itu, kereta terakhir berangkat pukul 22.05 WIB, cukup untuk melayani penumpang malam atau yang baru kembali dari aktivitas harian.
Selama perjalanan, kereta akan singgah di Stasiun Batu Ceper, yang juga menjadi titik strategis bagi penumpang dari Tangerang dan sekitarnya.
Perjalanan menuju Bandara Soekarno-Hatta ditempuh dengan cepat dan bebas macet, menjadi pilihan unggul di tengah padatnya lalu lintas Ibu Kota.
Baca juga: Jadwal Kereta Bandara BNI City-Soekarno-Hatta Mei 2025, mulai 05.05 WIB
Kereta bandara berangkat setiap 30 menit sekali dengan rincian jadwal sebagai berikut:
Pagi – Siang
Siang – Sore
Sore – Malam
Baca juga: Jadwal Kereta Bandara Soetta-Manggarai Terbaru, Cek Kereta Paling Pagi",07/05/2025,Travel News,https://travel.kompas.com/read/2025/05/07/141045727/jadwal-kereta-bandara-soekarno-hatta-dari-rawa-buaya-paling-malam-2205-wib
"Indonesia Dapat Pedoman UN Tourism, Apa Pentingnya buat Pariwisata?","KOMPAS.com - Organisasi Pariwisata Dunia, UN Tourism, meluncurkan pedoman investasi pariwisata pertama di kawasan Asia-Pasifik untuk Indonesia, pada pertemuan UN Tourism ke-37 di Jakarta, Rabu (16/4/2025).
Pedoman investasi pariwisata berjudul “Tourism Doing Business: Investing in Indonesia” itu diluncurkan oleh Sekretaris Jenderal UN Tourism, Zurab Pololikashvili bersama Menteri Pariwisata Widiyanti Putri Wardhana.
""Dokumen ini dirancang untuk memperkuat posisi Indonesia sebagai destinasi utama investasi pariwisata,"" ujar Widiyanti dalam video Laporan Kinerja Kementerian Pariwisata periode Maret–April 2025 di kanal YouTube Kementerian Pariwisata, Jumat (2/5/2025).
Baca juga: Efisiensi Anggaran, Jumlah Event di Banyuwangi Dikurangi dari 100 Jadi 42
Adapun isi pedoman investasi tersebut meliputi daya tarik industri pariwisata Indonesia, daya saing industri pariwisata nasional, peluang investasi, hingga outlook ekonomi dan iklim investasi Indonesia.
Daya tarik pariwisata yang dimaksud mencakup destinasi prioritas, kawasan ekonomi khusus, dan destinasi regeneratif.
Beberapa destinasi wisata Indonesia yang disoroti oleh UN Tourism adalah Borobudur, Toba Caldera Resort, Parapuar Labuan Bajo, Tanjung Lesung, Tanjung Kelayang, Morotai, Kura-Kura Bali, Mandalika, Likupang, dan Lido.
Baca juga: Indonesia Dapat Panduan Investasi Pariwisata dari UN Tourism, Pertama di Asia-Pasifik
Sejumlah pihak menyebut, adanya pedoman investasi pariwisata Indonesia dari UN Tourism membantu mempromosikan pengembangan destinasi wisata di Indonesia secara cuma-cuma.
KOMPAS IMAGES / FIKRIA HIDAYAT Arca di Candi Borobudur.
Menurut Executive Director UN Tourism, Natalia Bayona, keberadaan 10 destinasi super prioritas dan zona ekonomi khusus di Indonesia menjadi alasan besarnya peluang bisnis pariwisata di Indonesia.
""Saya belum menemukan negara yang punya insentif khusus untuk membuat kawasan ekonomi pariwisata khusus. Jadi ini adalah sesuatu yang penting bagi para investor, karena dengan hadirnya turis dan zona ekonomi khusus mereka dapat mengembangkan manufaktur di antara turis, pelayanan, teknologi, dan juga hotel-hotel,"" kata Natalia.
Adapun Deputi Bidang Sumber Daya dan Kelembagaan Kementerian Pariwisata, Martini M Paham, menuturkan, panduan investasi pariwisata ini bisa dibilang diberikan secara cuma-cuma oleh UN Tourism kepada Indonesia.
Selain menjadi tuan rumah CAP-CSA ke-37, hubungan baik antara UN Tourism dan Indonesia juga menjadi alasannya.
Baca juga: Aturan Baru buat Turis Asing di Bali, Wajib Berpakaian Sopan hingga Pakai QRIS
""Kalau kita sendiri yang bicara, investor bisa melihat kalau ini jualan kita, tapi ini di-endorse langsung oleh badan tertinggi PBB, yaitu UN Tourism, yang mau mempromosikan daerah mana saja yang bisa menjadi lokasi yang berpotensi bagi investor untuk berinvestasi, dan apa saja kriterianya,"" ujar Martin.
Buku panduan investasi pariwisata untuk Indonesia dari UN Tourism dapat diakses melalui laman resmi UNWTO (The United Nations World Tourism Organization).",07/05/2025,Travel News,https://travel.kompas.com/read/2025/05/07/133438427/indonesia-dapat-pedoman-un-tourism-apa-pentingnya-buat-pariwisata
"Intip Lokasi Pernikahan Maxime Bouttier dan Luna Maya di Bali, mulai Rp 9 Juta per Malam","KOMPAS.com - Maxime Bouttier dan Luna Maya dikabarkan menggelar pernikahan di COMO Shambala Estate di Ubud, Gianyar, Bali, pada Rabu (7/5/2025), seperti dikutip Kompas.com, Rabu (7/5/2025).
Adapun COMO Group merupakan jaringan hotel asal Singapura. Sedikitnya, ada tiga properti milik COMO Group yang terdapat di Bali.
Baca juga: Ingin Lamaran Romantis seperti Luna Maya dan Maxime Bouttier, Ini Jadwal Mekar Bunga Sakura di Jepang
Salah satunya, COMO Shambhala Estate yang disebut-sebut menjadi lokasi pernikahan Luna dan Maxime.
Dok. Luna Maya Maxime Bouttier berlutut untuk melamar sang kekasih, Luna Maya, di Tokyo, Jepang.
COMO Shambhala Estate menawarkan 30 akomodasi dengan tipe Suites, Pool Villa, dan Residences. Tarif menginap mulai dari Rp 12 juta per malam untuk tipe Suites, Rp 16 juta per malam untuk tipe Pool Villas, dan Rp 9 juta per malam untuk Residences.
Kamar Suites berkapasitas maksimal tiga orang. Khusus tipe COMO Suite in Umabona, terdiri dari dua kasur king untuk enam orang tamu.
Baca juga:
Sementara itu, tipe Pool Villas terdiri dari tipe satu kamar tidur (one bedroom), dua kamar tidur (two bedroom), dan tiga kamar tidur (three bedroom) berkapasitas tiga hingga delapan orang.
Seperti namanya, Pool Villas mencakup fasilitas kolam renang pribadi dengan pemandangan lembah di bawahnya.
Terdapat lima pilihan Residences berkapasitas 11-14 orang dengan pemandangan menghadap hutan atau gunung.
Baca juga: Isu Turis Ramai Tapi Hotel Sepi, Dispar Bali Akan Kumpulkan Asosiasi untuk Klarifikasi
DOK. COMO Shambala Estate Resor COMO Shambala Estate, Ubud, Gianyar, Bali, lokasi pernikahan Luna Maya dan Maxime Bouttier.
Selama menginap, tamu akan mendapatkan fasilitas, antara lain akses ke pusat kebugaran, sauna, serta matras yoga dalam setiap kamar.
Khusus tamu yang merayakan hari jadi pernikahan, bulan madu, atau ulang tahun, bisa mengeklaim hadiah berupa kue ulang tahun dan buket bunga.
Terdapat dua pilihan restoran untuk bersantap selama menginap di vila ini, yakni Kudus House yang menyajikan aneka masakan Indonesia dan Glow yang berupa restoran kontemporer.
Baca juga: Jadwal DAMRI Yogyakarta-Denpasar Bali PP, Tarif mulai Rp 300.000
A post shared by Kompas Travel (@kompas.travel)",07/05/2025,Travel News,https://travel.kompas.com/read/2025/05/07/130230827/intip-lokasi-pernikahan-maxime-bouttier-dan-luna-maya-di-bali-mulai-rp-9-juta
